id,h2dem_id,scenario,date,value
321,5,3,2032-07-01 00:00:00,200518.8711654059
322,5,3,2033-07-01 00:00:00,230455.00659448383
323,5,3,2034-07-01 00:00:00,256116.71325929806
324,5,3,2035-07-01 00:00:00,285757.1796985901
325,5,3,2036-07-01 00:00:00,322033.808885489
326,5,3,2037-07-01 00:00:00,355170.9366442822
327,5,3,2038-07-01 00:00:00,384833.8096036524
328,5,3,2039-07-01 00:00:00,390026.63172231003
329,5,3,2040-07-01 00:00:00,417960.7939034012
330,5,3,2041-07-01 00:00:00,447155.10201600887
331,5,3,2042-07-01 00:00:00,495190.2362144347
332,5,3,2043-07-01 00:00:00,502852.4299469771
333,5,3,2044-07-01 00:00:00,532530.1667559244
334,5,3,2045-07-01 00:00:00,567083.1274999828
335,5,3,2046-07-01 00:00:00,591390.1944952467
336,5,3,2047-07-01 00:00:00,601512.8049944539
337,5,3,2048-07-01 00:00:00,607979.7203574743
338,5,3,2049-07-01 00:00:00,608760.2454917512
339,6,1,2024-07-01 00:00:00,572.081734129405
340,6,1,2025-07-01 00:00:00,1402.8425656265676
341,6,1,2026-07-01 00:00:00,2806.3395863279925
342,6,1,2027-07-01 00:00:00,5037.499582740941
343,6,1,2028-07-01 00:00:00,8545.549978755034
344,6,1,2029-07-01 00:00:00,13362.00196848666
345,6,1,2030-07-01 00:00:00,12597.323540741769
346,6,1,2031-07-01 00:00:00,12457.921975041272
347,6,1,2032-07-01 00:00:00,12879.932645634311
348,6,1,2033-07-01 00:00:00,15120.459469946229
349,6,1,2034-07-01 00:00:00,15275.676997232396
350,6,1,2035-07-01 00:00:00,15277.16836158441
351,6,1,2036-07-01 00:00:00,15277.576041664535
352,6,1,2037-07-01 00:00:00,15374.320283523366
353,6,1,2038-07-01 00:00:00,15476.712290103975
354,6,1,2039-07-01 00:00:00,15545.30342885459
355,6,1,2040-07-01 00:00:00,15545.369108600846
356,6,1,2041-07-01 00:00:00,15651.76967487112
357,6,1,2042-07-01 00:00:00,15771.035394316694
358,6,1,2043-07-01 00:00:00,15851.293836156932
359,6,1,2044-07-01 00:00:00,15881.65928994609
360,6,1,2045-07-01 00:00:00,15940.14009435282
361,6,1,2046-07-01 00:00:00,15974.353969147573
362,6,1,2047-07-01 00:00:00,26533.890616246146
363,6,1,2048-07-01 00:00:00,36966.968188958854
364,6,1,2049-07-01 00:00:00,47391.50264110568
365,6,2,2024-07-01 00:00:00,843.3652614430814
366,6,2,2025-07-01 00:00:00,2002.0794485690544
367,6,2,2026-07-01 00:00:00,3837.5465693631995
368,6,2,2027-07-01 00:00:00,6853.016811569405
369,6,2,2028-07-01 00:00:00,11324.9839221822
370,6,2,2029-07-01 00:00:00,17869.668775774622
371,6,2,2030-07-01 00:00:00,18038.395779167437
372,6,2,2031-07-01 00:00:00,18012.149051847267
373,6,2,2032-07-01 00:00:00,18189.755882741247
374,6,2,2033-07-01 00:00:00,24713.527541616215
375,6,2,2034-07-01 00:00:00,29235.777908939286
376,6,2,2035-07-01 00:00:00,32566.828897469364
377,6,2,2036-07-01 00:00:00,35920.05115048236
378,6,2,2037-07-01 00:00:00,39503.43602735232
379,6,2,2038-07-01 00:00:00,43491.21816440261
380,6,2,2039-07-01 00:00:00,47045.534879901315
381,6,2,2040-07-01 00:00:00,50600.707318575056
382,6,2,2041-07-01 00:00:00,57060.32883731867
383,6,2,2042-07-01 00:00:00,60912.38911489584
384,6,2,2043-07-01 00:00:00,64559.30943852788
385,6,2,2044-07-01 00:00:00,71464.28749531257
386,6,2,2045-07-01 00:00:00,72690.30270865107
387,6,2,2046-07-01 00:00:00,75877.49881123025
388,6,2,2047-07-01 00:00:00,80144.56201022511
389,6,2,2048-07-01 00:00:00,90812.58824089348
390,6,2,2049-07-01 00:00:00,90829.73177773818
391,6,3,2024-07-01 00:00:00,789.0700765073611
392,6,3,2025-07-01 00:00:00,1717.348622981687
393,6,3,2026-07-01 00:00:00,3263.368010940171
