id,electrolyser_id,scenario,date,value
910,12,2,2049-07-01 00:00:00,317582.1
911,12,3,2024-07-01 00:00:00,2513924.3
912,12,3,2025-07-01 00:00:00,2199550.1
913,12,3,2026-07-01 00:00:00,1923670.7
914,12,3,2027-07-01 00:00:00,1683078.2
915,12,3,2028-07-01 00:00:00,1472426.0999999999
916,12,3,2029-07-01 00:00:00,1288506.5
917,12,3,2030-07-01 00:00:00,1127042.2
918,12,3,2031-07-01 00:00:00,985894.6
919,12,3,2032-07-01 00:00:00,862925.1
920,12,3,2033-07-01 00:00:00,754925.7999999999
921,12,3,2034-07-01 00:00:00,660827.3999999999
922,12,3,2035-07-01 00:00:00,577421.9999999999
923,12,3,2036-07-01 00:00:00,505778.89999999997
924,12,3,2037-07-01 00:00:00,442690.19999999995
925,12,3,2038-07-01 00:00:00,387086.6
926,12,3,2039-07-01 00:00:00,337898.8
927,12,3,2040-07-01 00:00:00,296196.1
928,12,3,2041-07-01 00:00:00,272671.5
929,12,3,2042-07-01 00:00:00,253424.09999999998
930,12,3,2043-07-01 00:00:00,239523.19999999998
931,12,3,2044-07-01 00:00:00,226691.6
932,12,3,2045-07-01 00:00:00,215998.59999999998
933,12,3,2046-07-01 00:00:00,207444.19999999998
934,12,3,2047-07-01 00:00:00,196751.19999999998
935,12,3,2048-07-01 00:00:00,188196.8
936,12,3,2049-07-01 00:00:00,179642.4
937,13,1,2024-07-01 00:00:00,2513924.3
938,13,1,2025-07-01 00:00:00,2273331.8
939,13,1,2026-07-01 00:00:00,2056263.9
940,13,1,2027-07-01 00:00:00,1859512.6999999997
941,13,1,2028-07-01 00:00:00,1682008.9
942,13,1,2029-07-01 00:00:00,1521613.9
943,13,1,2030-07-01 00:00:00,1376189.0999999999
944,13,1,2031-07-01 00:00:00,1244665.2
945,13,1,2032-07-01 00:00:00,1124903.5999999999
946,13,1,2033-07-01 00:00:00,1017973.6
947,13,1,2034-07-01 00:00:00,920667.2999999999
948,13,1,2035-07-01 00:00:00,831915.4
949,13,1,2036-07-01 00:00:00,752787.2
950,13,1,2037-07-01 00:00:00,681144.1
951,13,1,2038-07-01 00:00:00,615916.7999999999
952,13,1,2039-07-01 00:00:00,557105.2999999999
953,13,1,2040-07-01 00:00:00,503640.3
954,13,1,2041-07-01 00:00:00,491878
955,13,1,2042-07-01 00:00:00,480115.69999999995
956,13,1,2043-07-01 00:00:00,452313.89999999997
957,13,1,2044-07-01 00:00:00,438412.99999999994
958,13,1,2045-07-01 00:00:00,425581.39999999997
959,13,1,2046-07-01 00:00:00,405264.69999999995
960,13,1,2047-07-01 00:00:00,383878.69999999995
961,13,1,2048-07-01 00:00:00,367839.19999999995
962,13,1,2049-07-01 00:00:00,350730.39999999997
963,13,2,2024-07-01 00:00:00,2513924.3
964,13,2,2025-07-01 00:00:00,2259430.9
965,13,2,2026-07-01 00:00:00,2030600.6999999997
966,13,2,2027-07-01 00:00:00,1825295.0999999999
967,13,2,2028-07-01 00:00:00,1640306.1999999997
968,13,2,2029-07-01 00:00:00,1474564.7
969,13,2,2030-07-01 00:00:00,1324862.7
970,13,2,2031-07-01 00:00:00,1191200.2
971,13,2,2032-07-01 00:00:00,1070369.2999999998
972,13,2,2033-07-01 00:00:00,962369.9999999999
973,13,2,2034-07-01 00:00:00,865063.7
974,13,2,2035-07-01 00:00:00,777381.1
975,13,2,2036-07-01 00:00:00,698252.8999999999
976,13,2,2037-07-01 00:00:00,627679.1
